,RENT_DT,RENT_ID,RENT_NM,RENT_TYPE,GENDER_CD,AGE_TYPE,USE_CNT,EXER_AMT,CARBON_AMT,MOVE_METER,MOVE_TIME,START_INDEX,END_INDEX,RNUM
0,2022-10-01,00108,108. 서교동 사거리,정기권,,~10대,1,58.21,0.49,2100.00,22,0,0,1
1,2022-10-01,00729,729. 서부식자재마트 건너편,정기권,,~10대,1,56.28,0.52,2256.02,16,0,0,2
2,2022-10-01,00729,729. 서부식자재마트 건너편,정기권,,~10대,1,50.29,0.35,1530.00,14,0,0,3
3,2022-10-01,00731,731. 서울시 도로환경관리센터,정기권,,~10대,2,36.84,0.40,1733.11,13,0,0,4
4,2022-10-01,00733,733. 신정이펜하우스314동,정기권,,~10대,2,140.22,1.19,5131.70,32,0,0,5
5,2022-10-01,00735,735. 영도초등학교,정기권,,~10대,6,240.26,2.39,10267.77,116,0,0,6
6,2022-10-01,00736,736. 오솔길공원,정기권,,~10대,3,187.86,1.50,6472.58,77,0,0,7
7,2022-10-01,00739,739. 신월사거리,정기권,,~10대,1,50.68,0.55,2369.94,18,0,0,8
8,2022-10-01,00740,740. 으뜸공원,정기권,,~10대,1,89.97,0.66,2840.00,18,0,0,9
9,2022-10-01,00746,746. 목동2단지 상가,정기권,,~10대,6,172.83,1.84,7906.64,56,0,0,10
10,2022-10-01,00747,747. 목동3단지 상가,정기권,,~10대,3,70.84,0.63,2749.97,20,0,0,11
11,2022-10-01,00946,946. 독바위역 ,정기권,,~10대,1,28.56,0.25,1060.46,6,0,0,12
12,2022-10-01,00947,947. 연신내 선일하이츠빌 정류소,정기권,,~10대,1,30.65,0.30,1290.00,4,0,0,13
13,2022-10-01,00949,949. 연신내역 1번 출구 ,정기권,,~10대,1,118.92,1.07,4620.00,41,0,0,14
14,2022-10-01,00952,952. 서울연신중학교,정기권,,~10대,1,14.93,0.13,580.00,2,0,0,15
15,2022-10-01,01029,1029. 성내어울터,정기권,,~10대,2,103.61,0.97,4188.23,20,0,0,16
16,2022-10-01,01030,1030. 미호 플랜트 앞,정기권,,~10대,1,31.79,0.30,1294.63,7,0,0,17
17,2022-10-01,01031,1031. 올림픽로 836(아리수로),정기권,,~10대,1,66.56,0.49,2100.90,15,0,0,18
18,2022-10-01,01034,1034. 고덕동 래미안 힐스테이트,정기권,,~10대,1,67.14,0.20,847.74,7,0,0,19
19,2022-10-01,01035,1035. 고덕역 4번출구,정기권,,~10대,2,39.67,0.40,1724.24,20,0,0,20
